keyword,channel,title,date,url
Les puissances,Hedacademy,LES PUISSANCES AU BREVET,2023-05-11,https://www.youtube.com/watch?v=HAtyC69XOHo
Les puissances,Hedacademy,Puissances au Brevet - Un classique,2024-06-14,https://www.youtube.com/watch?v=q8cLJ2luzso
Les puissances,Hedacademy,PUISSANCES - Calculs et priorités,2022-03-30,https://www.youtube.com/watch?v=XtutVRJ0ePI
Les puissances,Hedacademy,PUISSANCES - Écriture scientifique,2022-04-02,https://www.youtube.com/watch?v=NxhvyT_Q6xc
Les puissances,Hedacademy,PUISSANCES - Exposant négatif,2022-03-29,https://www.youtube.com/watch?v=P3WCD9EcDiY
Les racines,Yvan Monka,LE COURS : Les racines carrées - Seconde,2020-07-17,https://www.youtube.com/watch?v=8Atxa6iMVsw
Les racines,Yvan Monka,Réduire les racines carrées (1) - Seconde,2014-12-27,https://www.youtube.com/watch?v=8pB5pq2MyDM
Les racines,Yvan Monka,Calculer une racine carrée - Quatrième,2025-03-27,https://www.youtube.com/watch?v=y2HlgP09Bog
Les racines,Yvan Monka,Appliquer les formules sur les racines carrées - Seconde,2014-12-27,https://www.youtube.com/watch?v=CrTjK3Qa72s
Les racines,Yvan Monka,Réduire les racines carrées (2) - Seconde,2014-12-27,https://www.youtube.com/watch?v=MXJYntzumDo
Les racines,Yvan Monka,Utiliser les racines n-ièmes de l’unité - Terminale - Maths expertes,2020-06-20,https://www.youtube.com/watch?v=cqK_IGw_0fE
Les racines,Yvan Monka,Utiliser les formules de somme et produit de racines - Première,2023-03-07,https://www.youtube.com/watch?v=UTcryCyG29s
Les racines,Hedacademy,Simplifier une racine carrée - JE T&#39;EXPLIQUE !,2022-05-19,https://www.youtube.com/watch?v=pxfvAV7Jyhs
Les racines,Hedacademy,Sauras-tu enlever la racine du dénominateur ?,2021-05-30,https://www.youtube.com/watch?v=6NPSpZq6vnc
Les racines,Hedacademy,INTERRO sur les RACINES CARRÉES,2025-11-17,https://www.youtube.com/watch?v=omzSAYqNYb0
Les racines,Hedacademy,UNE RACINE IMPOSSILE À SIMPLIFIER ?,2023-04-09,https://www.youtube.com/watch?v=Uh6rtSJjsyw
Les racines,Hedacademy,Racines carrées - Simplification,2016-01-03,https://www.youtube.com/watch?v=nkroNzehNZQ
Les racines,Hedacademy,Racines carrées - Introduction,2016-01-03,https://www.youtube.com/watch?v=AVxaxKK9y3w
